Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n101-k25.vrp,27591,27591,27854,27591,27591,27591,27591,27659,27591,27591,27591,27591,27591,27597,27591,27591,27591,27659,27591,27591,27595,27659,27591,27591,27833,27655,27591,27591,27591,27659,27591,27659,27591,27591,27591,27591,27591,27591,27659,27659,27609,27597,27591,27591,27591,27591,27591,27591,27591,27591
X-n106-k14.vrp,26374,26391,26381,26406,26370,26389,26391,26391,26381,26381,26381,26389,26381,26383,26381,26381,26383,26396,26381,26381,26381,26507,26387,26381,26507,26387,26381,26499,26395,26422,26381,26381,26381,26383,26381,26381,26383,26381,26381,26381,26381,26381,26383,26389,26381,26383,26381,26381,26381,26389
X-n110-k13.vrp,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971,14971
X-n115-k10.vrp,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747,12747
X-n120-k6.vrp,13333,13332,13332,13332,13332,13366,13332,13332,13332,13332,13332,13332,13354,13332,13332,13332,13332,13342,13332,13332,13332,13343,13332,13333,13354,13340,13332,13332,13332,13332,13332,13332,13354,13332,13332,13332,13332,13343,13332,13332,13332,13332,13332,13332,13366,13332,13332,13332,13332,13332
X-n125-k30.vrp,56039,56019,56017,55892,55642,56019,56019,55692,56017,55716,56017,55735,56315,56312,56256,56017,56303,55907,55907,56017,56047,55585,56019,55702,55675,56056,56567,56019,55890,56019,56019,55919,55707,55966,56551,56019,56058,55724,55698,56142,56019,56019,56019,56019,56019,55546,55888,55879,56073,56019
X-n129-k18.vrp,29066,28948,28992,28972,29019,29013,28954,28971,29030,28972,28996,29017,28998,28957,28995,28972,29018,28997,28971,28971,28971,29009,29005,29099,28972,28954,28948,28954,29045,28995,28995,29119,28971,29178,29091,29020,29020,29018,28972,28948,29066,29037,28972,28971,28948,28948,28948,29080,29119,28972
X-n134-k13.vrp,10950,10933,10944,10957,10944,10949,10944,10955,10944,10933,10933,10971,10947,10949,10940,10950,10933,10933,10947,10949,10953,10944,10944,10940,10951,10955,10949,10937,10933,10950,10944,10916,10916,10940,10949,10947,10933,10969,10940,10947,10954,10940,10947,10933,10947,10975,10944,10947,10944,10940
X-n139-k10.vrp,13590,13590,13590,13592,13590,13590,13602,13590,13590,13590,13590,13612,13590,13590,13590,13590,13590,13612,13590,13590,13644,13590,13590,13590,13610,13590,13590,13590,13592,13590,13590,13600,13590,13590,13590,13590,13590,13590,13590,13590,13590,13590,13590,13590,13590,13612,13590,13590,13590,13590
X-n143-k7.vrp,15726,15841,15768,15726,15819,15726,15743,15733,15726,15726,15733,15726,15772,15726,15726,15726,15726,15757,15726,15726,15733,15726,15726,15774,15882,15726,15772,15733,15726,15726,15726,15726,15763,15726,15768,15729,15700,15726,15733,15726,15729,15726,15771,15726,15726,15726,15726,15726,15722,15768
X-n148-k46.vrp,43630,43592,43448,43448,43592,43566,43448,43448,43592,43566,43448,43582,43448,43665,43640,43592,43448,43592,43592,43682,43448,43592,43448,43448,43448,43592,43448,43448,43448,43448,43595,43633,43540,43448,43694,43448,43592,43566,43592,43655,43580,43599,43448,43592,43592,43694,43599,43641,43448,43592
X-n153-k22.vrp,21366,21225,21346,21232,21225,21225,21380,21366,21366,21235,21366,21225,21380,21233,21380,21231,21371,21366,21276,21225,21225,21382,21366,21366,21366,21225,21225,21225,21366,21233,21366,21255,21382,21373,21366,21366,21366,21225,21366,21366,21366,21234,21366,21366,21235,21366,21366,21366,21366,21380
