Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n186-k15.vrp,24243,24222,24236,24194,24218,24223,24276,24241,24204,24225,24172,24291,24236,24199,24218,24226,24205,24197,24210,24201,24213,24207,24214,24189,24231,24196,24215,24262,24439,24231,24209,24197,24149,24299,24215,24259,24177,24197,24177,24238,24207,24201,24204,24391,24248,24196,24189,24215,24213,24196
X-n190-k8.vrp,17064,17051,17020,17031,17049,17078,17032,17076,17001,17061,17019,17119,17023,17071,17069,17061,17067,17000,16996,17074,17041,17141,17071,17091,17062,17024,17078,17115,17023,17093,17070,16992,17055,17025,16988,17078,17070,17062,17071,17102,17020,17071,17079,17017,17053,17100,17077,17064,17025,17062
X-n195-k51.vrp,44466,44358,44527,44541,44360,44493,44384,44438,44556,44418,44330,44464,44491,44516,44382,44498,44352,44402,44466,44454,44476,44415,44321,44407,44270,44480,44264,44363,44427,44459,44380,44279,44359,44310,44370,44360,44356,44412,44434,44482,44509,44587,44421,44318,44298,44428,44253,44302,44441,44377
X-n200-k36.vrp,58938,58953,58939,58963,58939,58940,58912,58938,58893,58952,58677,58902,58680,58982,58934,58932,58966,58907,58901,58947,58873,58942,58901,58973,59030,58883,58889,58796,58860,58938,58929,58932,58960,58915,58958,58902,58925,58873,58923,58999,58817,58927,58882,58800,58986,58928,58941,58871,58819,58945
X-n204-k19.vrp,19714,19692,19758,19757,19724,19734,19811,19689,19729,19747,19737,19718,19755,19729,19735,19671,19671,19722,19807,19579,19722,19714,19666,19724,19808,19594,19579,19718,19808,19606,19726,19832,19584,19771,19710,19748,19743,19716,19679,19699,19581,19715,19718,19720,19721,19756,19786,19757,19584,19808
X-n209-k16.vrp,30698,30741,30776,30776,30775,30784,30863,30685,30753,30746,30726,30753,30694,30817,30816,30763,30819,30750,30749,30909,30791,30882,30970,30771,30724,30694,30744,30715,30762,30681,30771,30685,30812,30703,30695,30689,30733,30661,30711,30834,30711,30879,30953,30830,30670,30816,30821,30754,30837,30861
X-n214-k11.vrp,10972,10922,10999,11014,10946,10911,10979,10957,10935,10942,10898,11003,10937,10940,11098,11025,10924,10891,10953,10918,10967,10896,10916,10932,10968,10962,10964,10923,10982,10895,10946,10887,10939,10980,10916,10962,10999,11059,11029,11082,10942,10941,10918,10926,10883,10921,11004,10951,10935,10974
X-n219-k73.vrp,117874,117750,117691,117712,117702,117727,117700,117709,117697,117699,117813,117720,117711,117854,117738,117672,117704,117654,117762,117742,117778,117736,117652,117678,117672,117669,117737,117738,117667,117757,117654,117747,117801,117860,117755,117738,117691,117817,117720,117742,117732,117595,117784,117734,117739,117750,117688,117868,117730,117691
X-n223-k34.vrp,40775,40653,40673,40791,40676,40668,40852,40564,40721,40623,40674,40679,40774,40842,40650,40868,40559,40720,40761,40521,40692,40780,40636,40815,40874,40741,40640,40692,40593,40735,40792,40629,40751,40874,40722,40514,40769,40518,40757,40719,40667,40792,40702,40696,40738,40858,40827,40719,40685,40888
X-n228-k23.vrp,25935,25792,25850,26065,25935,26031,25968,25786,25978,26067,26021,25992,26083,25884,26087,25831,25997,25889,25792,25972,26086,26079,26026,25799,25792,25823,26064,26006,25973,25791,25912,25819,26060,25851,26072,25978,25987,26119,25874,25968,25823,25977,25792,25841,25898,25867,25791,25812,26067,26063
