Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n261-k13.vrp,27487,27301,27130,27368,27105,27093,27265,27041,27198,26946,27149,27356,27201,27781,27343,27096,27320,27187,27080,27133,27504,27151,27148,26927,27151,27092,27060,26905,27146,27528,27142,27053,27119,26984,27008,27119,27129,26999,27110,27083,27023,27211,27138,27002,27098,27060,27073,27024,27212,27364
X-n266-k58.vrp,76560,76752,76608,76420,76462,76571,76590,76924,76600,76451,76653,76721,76577,76422,76385,76982,76633,76632,76740,76474,76519,76373,76569,76538,76985,76833,76535,76294,76870,76493,76922,76620,76561,76985,76250,76588,76466,76777,76657,76498,76441,76321,76490,76656,76626,76713,76791,76617,76537,76397
X-n270-k35.vrp,35607,35626,35579,35820,35608,35580,35674,35560,35547,35517,35592,35671,35488,35557,35776,35690,35611,35531,35487,35498,35703,35511,35523,35709,35665,35560,35633,35643,35589,35621,35649,35497,35642,35528,35652,35594,35641,35694,35516,35514,35544,35531,35575,35639,35646,35618,35600,35559,35636,35518
X-n275-k28.vrp,21444,21433,21408,21460,21494,21395,21472,21478,21494,21480,21412,21491,21539,21522,21464,21373,21481,21500,21385,21414,21585,21386,21460,21487,21511,21431,21483,21502,21406,21407,21582,21358,21545,21481,21472,21472,21484,21481,21411,21401,21446,21428,21478,21385,21462,21368,21524,21325,21522,21460
X-n280-k17.vrp,33833,34008,33871,33918,33802,33935,34026,33879,33972,33902,34025,33827,33909,34027,34062,33955,33929,33949,33869,33906,33857,34138,33861,33855,33917,33874,33979,33874,33815,33894,33900,33880,33826,33933,33832,33814,33825,33909,33893,33956,33925,33796,33869,33921,33810,33842,33858,33876,33719,33992
X-n284-k15.vrp,20638,20818,20666,20718,20734,20739,20740,20769,20683,20754,20751,20683,20600,20689,20871,20626,20596,20734,20706,20800,20569,20725,20737,20642,20851,20802,20613,20748,20647,20604,20798,20734,20574,20539,20691,20619,20757,20714,20631,20715,20667,20667,20789,20751,20672,20536,20509,20622,20541,20437
X-n289-k60.vrp,96774,96677,96271,96254,96358,96724,96256,96256,96423,96498,96643,96445,96645,96349,96129,96204,96325,96476,96267,96187,96248,96522,96383,96338,96364,97075,96275,96387,96263,96958,96388,96197,96312,96200,96604,96426,96167,96169,96410,96105,96521,96328,96561,96339,96452,96678,96336,96477,96395,96198
X-n294-k50.vrp,47737,47576,47632,47598,47451,47630,47561,47777,47608,47668,47354,47635,47984,47589,47654,47649,47714,47502,47566,47467,47388,47576,47625,47600,47494,47774,47577,47591,47543,47847,47553,47690,47530,47577,47710,47603,47514,47690,47580,47544,47654,47727,47563,47517,47466,47597,47479,47831,47462,47641
X-n298-k31.vrp,34957,34681,34885,34613,34697,34898,35115,34555,35064,34955,34891,34885,35018,34959,34925,34878,34968,34912,34628,34874,34973,34989,35106,34788,34948,34926,35078,34764,34986,34933,35200,34950,35086,34917,34720,34967,34751,34923,34869,34789,34780,34524,34835,34809,34660,35249,34965,34889,34673,35128
X-n303-k21.vrp,21981,22045,21997,21906,21998,21927,22032,21891,21836,21981,22090,21965,21877,21964,22001,21938,21897,21848,21906,21984,21992,22048,22016,22026,22033,21903,22043,21927,21893,22014,22200,21914,21877,21948,21887,22052,21989,22046,21865,21998,21982,21927,22020,22032,21898,21960,22117,21883,21982,21931
X-n308-k13.vrp,26420,26288,26244,26308,26253,26243,26224,26095,26116,26334,26191,26187,26049,26265,26393,26005,26182,26142,26318,26202,26383,26150,26214,26248,26228,26219,26155,26339,26414,26272,26175,26215,26107,26252,26255,26308,26120,26248,26230,26318,26178,26087,26281,26152,26326,26335,26220,26031,26268,26420
X-n313-k71.vrp,95059,94828,95262,95068,95231,95679,95199,95351,95296,95170,95386,95158,95116,95373,95163,95138,95300,95067,94915,95378,95302,95339,95350,95207,95374,95068,95179,96102,95008,95394,95105,95107,95521,95308,95212,95214,95054,95371,95092,95226,95264,95432,95196,95293,95379,95353,94942,95383,95202,95091
X-n317-k53.vrp,78739,78714,78434,78727,78757,78664,78712,78725,78470,78706,78750,78747,78758,78772,78715,78472,78766,78809,78736,78484,78768,78770,78788,78690,78703,78679,78747,78544,78654,78772,78692,78424,78386,78690,78693,78463,78431,78735,78732,78676,78750,78644,78438,78750,78701,78762,78758,78690,78680,78677
X-n322-k28.vrp,30328,30530,30147,30378,30416,30334,30311,30265,30276,30461,30206,30180,30150,30291,30163,30587,30302,30387,30301,30209,30273,30126,30254,30369,30388,30454,30167,30472,30403,30173,30105,30332,30364,30503,30370,30236,30368,30153,30300,30283,30502,30133,30156,30319,30250,30607,30335,30281,30362,30205
