Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
Antwerp1.txt,479684,479305,479566,480365,479504,480045,479780,479321,480074,479770,479865,479840,479818,479581,479917,480048,479526,479626,479965,480385,479711,479790,479795,479994,479671,480048,480028,479730,480269,479908,479883,479746,479966,479687,479659,480093,479792,479911,479865,479549,479871,479671,479520,479777,479847,479632,479933,479711,479679,480153
Antwerp2.txt,296321,295945,295399,295911,295157,295060,296110,296038,296082,296075,295891,295683,295914,295536,295881,295542,295540,295808,296215,295578,295743,295800,295406,295645,295520,295694,296038,295854,295667,295617,295513,296175,295406,295552,295168,295862,295804,295779,295318,295535,295753,295627,295716,295940,295095,295486,295957,296134,295686,295803
Brussels1.txt,507150,507447,507050,507468,507127,507354,507312,507073,507326,506935,507169,507194,507487,507043,506860,507380,507304,507303,507707,507407,507184,507202,507413,506735,507492,507443,507266,507300,507390,507287,507298,507481,507040,507390,507314,507462,507396,507216,507386,507018,507503,507443,507500,507418,507454,507713,507202,507278,507019,507309
Brussels2.txt,353215,352880,353426,353317,352887,352926,353268,353178,352721,352914,353212,352728,352939,352546,353184,352622,352480,353151,352653,352797,353267,353129,352539,353302,352613,352791,352420,352479,352894,353092,353285,353255,353079,352628,353397,353009,353063,353288,353059,352842,352715,352635,352961,353231,352968,352599,353722,353510,352494,352650
Flanders1.txt,7304850,7305668,7309790,7306297,7308652,7304711,7308903,7308463,7306178,7308165,7304244,7307565,7309330,7308128,7311889,7305928,7306865,7305885,7310417,7304807,7301549,7307212,7303232,7311746,7309180,7305878,7307159,7313604,7304282,7310894,7311311,7309345,7304917,7306178,7307979,7305830,7308092,7303892,7307158,7304491,7303592,7302086,7308942,7311978,7305205,7306812,7304955,7310679,7307715,7311145
Flanders2.txt,4486821,4483310,4488569,4486504,4487609,4494365,4490932,4493463,4496745,4490813,4488050,4485026,4490648,4490500,4494062,4494004,4489524,4486077,4489352,4488270,4493447,4490043,4490971,4496909,4485164,4481602,4488564,4497661,4490519,4487939,4491105,4487708,4490690,4488518,4488828,4484848,4490449,4490522,4490992,4490154,4491819,4491142,4490853,4491345,4493789,4488058,4487933,4497258,4487937,4488538
Ghent1.txt,472743,472702,472514,472701,472967,472505,472643,472600,472702,472332,472515,472141,472788,472585,472551,472393,472787,472456,472584,472276,472664,472413,472565,472357,472469,472647,472604,472619,472604,472619,472210,472745,472445,472436,472548,472434,472452,472497,472927,472451,472482,472738,472151,472370,472896,472459,472390,472626,472604,472506
Ghent2.txt,262453,262402,262237,261877,261971,262296,261994,261751,261780,262721,262159,261814,262594,262056,262042,262071,261753,261925,261469,261929,261953,261969,261689,261700,262278,261679,261706,261869,262098,262068,262265,261793,261363,261865,261826,261794,261785,262011,261802,262007,262262,262140,262604,262481,261375,262403,261836,261858,262193,262356
Leuven1.txt,193692,193655,193625,193639,193564,193669,193739,193585,193605,193693,193838,193649,193572,193508,193591,193558,193684,193569,193601,193556,193769,193633,193582,193517,193668,193568,193586,193597,193592,193535,193512,193730,193511,193652,193526,193542,193577,193734,193598,193696,193687,193698,193624,193540,193606,193626,193635,193547,193569,193640
Leuven2.txt,112294,112229,112342,112193,112358,112709,112324,112216,112195,112215,112215,112192,112281,111915,112099,112384,112163,112328,112234,112748,112368,112394,112160,112556,112204,112360,112086,112057,112037,112107,112154,112185,112423,112243,112119,112147,112067,112075,112358,112970,112136,112150,112405,112315,112272,112223,112142,112059,112026,112380
Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
Antwerp1.txt,339,348,338,343,337,341,338,341,334,339,336,340,334,339,342,335,339,338,341,340,336,340,338,338,339,337,339,338,338,342,339,337,340,340,338,340,334,333,339,337,355,332,338,338,339,339,339,339,340,338
Antwerp2.txt,458,529,505,472,451,599,429,445,449,515,449,538,468,564,496,466,545,448,465,438,519,488,473,485,504,477,480,461,439,466,486,502,521,491,533,462,468,527,444,476,448,455,429,445,469,464,504,442,493,494
Brussels1.txt,889,907,886,885,886,884,876,873,878,860,884,880,878,879,879,876,887,878,872,875,878,887,872,887,886,890,872,882,886,874,885,883,861,879,878,905,879,915,870,879,869,882,865,871,881,879,878,889,872,875
Brussels2.txt,1840,1974,1326,1522,1299,1744,1800,1415,1919,1533,1971,1951,1893,1935,1544,1920,1948,1417,1990,1560,1420,1931,1900,1471,1841,1801,1882,1900,1938,1799,1383,1592,1755,1940,1371,1347,1704,1440,1207,1389,1834,1886,1578,1338,1483,1606,1206,1334,1674,1894
Flanders1.txt,1555,1534,1491,1534,1533,1506,1521,1537,1504,1494,1507,1512,1514,1526,1523,1521,1524,1511,1508,1511,1497,1508,1526,1520,1511,1502,1496,1523,1502,1466,1479,1493,1498,1491,1516,1491,1526,1494,1488,1511,1506,1506,1500,1517,1508,1519,1504,1520,1522,1503
Flanders2.txt,4455,4587,4863,5052,3931,4212,4070,4524,4493,4289,4804,4481,4030,4743,3194,5733,4624,5309,4061,4249,5217,4385,5209,5264,5432,4172,4988,5657,4875,4284,4473,4006,5054,4391,4514,4194,4884,4749,5263,5132,4865,4309,4917,5261,5106,4645,4960,5014,5220,4818
Ghent1.txt,543,540,545,553,548,547,537,540,547,547,539,550,549,541,552,547,545,542,557,539,544,546,540,531,540,541,546,541,545,547,542,548,544,546,539,534,547,539,544,540,534,541,546,538,542,570,546,544,545,540
Ghent2.txt,1222,1265,1159,1168,1209,1484,1239,1068,1145,1303,1097,1202,1291,1223,1207,1193,1218,1157,1230,1403,1198,1302,1172,1221,1190,1161,1148,1220,1408,1185,1170,1164,1098,1255,1249,1214,1173,1252,1263,1089,1336,1406,1231,1260,1233,1245,1181,1228,1198,1338
Leuven1.txt,205,203,200,203,202,204,200,201,200,201,200,202,198,201,200,203,201,200,200,203,202,202,199,199,199,203,202,202,198,199,202,201,202,201,199,198,203,204,198,198,200,202,203,200,204,205,202,203,200,204
Leuven2.txt,590,573,604,721,601,663,633,860,705,639,650,652,586,775,650,584,710,567,756,584,582,581,640,599,702,780,710,750,634,647,694,715,584,676,513,691,728,619,550,623,736,691,588,608,657,655,654,708,751,626
