Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
Antwerp1.txt,482252,482951,483046,482276,482822,482828,483079,482501,482420,482565,483036,482703,482624,482703,483045,482740,482933,483034,483054,482573,483120,482883,482786,482844,482900,483034,482460,482667,483071,482617,482743,482845,482915,482977,482648,483003,482847,482718,483171,482437,482722,482918,482701,482434,482414,482800,482952,482767,482960,483343
Antwerp2.txt,298711,298654,298724,298482,298910,299054,298809,298521,298467,298676,298329,298957,298444,299147,299344,298303,298788,298783,298306,298566,298924,298291,298429,299336,299015,298884,298807,299713,298864,298754,297970,298485,298647,299545,298844,298804,299014,298193,298924,298549,298575,298664,299249,298456,299135,298909,298789,298960,298957,298915
Brussels1.txt,513303,514052,513222,513822,513446,513697,513961,513899,513705,513310,513151,514007,514182,513593,513601,513496,513239,513851,513507,513778,512825,513718,513667,513832,513486,513886,513858,513599,513297,513499,513768,514270,513739,513407,513648,513400,513564,514036,513178,514033,514212,513454,513641,513531,513619,513515,513716,514233,513685,514493
Brussels2.txt,359689,360117,358771,360111,358891,358526,359227,359283,359224,358790,358998,358453,358895,359122,359272,359132,359380,358846,359040,358842,359552,358761,358913,359036,359600,359220,359869,358891,359573,358750,358830,359326,359063,359014,359162,360016,359592,359169,359143,359066,359345,359278,359560,359626,359686,358937,359363,359442,359216,359476
Flanders1.txt,7367224,7368649,7366548,7361669,7368802,7367480,7365093,7367470,7368083,7366772,7366995,7365529,7364637,7364863,7362922,7363683,7367356,7367891,7362740,7365267,7365723,7366851,7363578,7366728,7368011,7362791,7363826,7365830,7359424,7365932,7368494,7364391,7370390,7364878,7367154,7368564,7364234,7364304,7358245,7365911,7369597,7370404,7363699,7365662,7362236,7368741,7371118,7362608,7361965,7364944
Flanders2.txt,4565797,4563345,4556509,4566685,4558257,4562963,4565229,4562851,4557120,4563429,4558377,4567260,4565350,4569963,4558545,4563980,4560769,4560989,4567736,4559587,4563865,4564356,4558055,4561367,4568883,4563445,4568297,4559568,4564019,4561803,4557029,4559092,4557007,4562354,4568563,4565872,4561453,4566445,4559242,4560435,4566414,4559331,4565374,4564814,4558903,4559166,4556416,4560994,4562015,4566531
Ghent1.txt,477090,477269,477098,477134,476756,476962,477027,477199,476727,477406,476852,477193,476405,476764,476598,477037,476467,476630,477175,476874,477067,476879,476918,476744,477375,476875,476636,477224,476537,476425,476618,477172,477014,476549,477006,476847,476657,476548,477023,476733,476781,476873,476966,476964,476411,476875,476941,476902,476882,477497
Ghent2.txt,266406,266372,266896,266080,265912,266967,266420,266411,265866,266284,266488,266672,266070,266505,266953,266654,266257,266428,266060,266542,266935,266800,266334,267023,266688,266488,266434,267124,267230,266289,266071,266404,266868,266594,266353,266384,265937,266415,266936,266919,266562,266699,266430,266419,266549,266247,266307,266328,266824,266365
Leuven1.txt,194492,194674,194595,194504,194515,194618,194430,194597,194632,194613,194618,194543,194636,194547,194782,194326,194872,194509,194825,194523,194624,194642,194526,194494,194827,194608,194565,194580,194592,194450,194425,194553,194671,194389,194399,194453,194624,194637,194475,194449,194588,194547,194574,194453,194555,194530,194432,194587,194712,194535
Leuven2.txt,113332,114139,113878,113875,113846,114407,113939,113666,113411,113266,113678,114344,114284,113285,113616,113538,113886,113597,114205,113746,113523,113814,114526,113742,114025,114221,113486,113598,114126,113735,113517,114368,113516,114058,113337,113822,113620,113789,113439,113901,113109,113588,114049,114128,113519,113779,113747,113403,114193,113804
